blk_no,street,postal_code,name,lat,lon
11,JALAN SUKA,399433,NIL,1.31200215307534,103.88295724645
49,GUILLEMARD ROAD,399704,NIL,1.30975398914596,103.878423733212
49A,GUILLEMARD ROAD,399704,NIL,1.3097539894197,103.87842373294
49B,GUILLEMARD ROAD,399704,NIL,1.3097539894197,103.87842373294
213,GUILLEMARD ROAD,399733,GUILLEMARD SUITES,1.31094521852726,103.882721097721
31A,EUNOS CRESCENT,401031,EUNOS COURT,1.32003400022608,103.901616036213
38A,EUNOS ROAD 2,401038,EUNOS COURT,1.32117761917623,103.900158114028
1,UBI VIEW,408555,FOCUS ONE,1.33165249966586,103.897018752154
55,UBI AVENUE 1,408935,UBI 55,1.32488253615193,103.895530015199
97,KAKI BUKIT AVENUE 1,415983,SHUN LI INDUSTRIAL PARK,1.33701667010524,103.912911991307
101,KAKI BUKIT AVENUE 1,415985,SHUN LI INDUSTRIAL PARK,1.337093266923,103.913067355538
103,KAKI BUKIT AVENUE 1,415986,SHUN LI INDUSTRIAL PARK,1.33736524254369,103.91293956668
30,TAMAN SELAMAT,416426,KIMNAN PARK,1.32517016195039,103.914781472955
32,TAMAN SELAMAT,416428,NIL,1.325094956741,103.914852848415
32,TAMAN SELAMAT,416428,KIMNAN PARK,1.32517856192053,103.914841292801
17A,LORONG MYDIN,416816,NIL,1.31963035147612,103.91139835808
53A,LORONG MELAYU,416937,KEMBANGAN ESTATE,1.32247931917509,103.909895603639
54A,LORONG MELAYU,416939,KEMBANGAN ESTATE,1.32101954399638,103.910783270848
58,LORONG MELAYU,416944,KEMBANGAN ESTATE,1.32126369474203,103.910658756972
82F,LORONG MELAYU,417001,MALAYSIA PARK,1.32353429501195,103.910338053508
82G,LORONG MELAYU,417002,MALAYSIA PARK,1.32354577976219,103.910389915722
82H,LORONG MELAYU,417003,MALAYSIA PARK,1.32358209738634,103.910437970254
82J,LORONG MELAYU,417004,MALAYSIA PARK,1.32360590825522,103.910483075117
82K,LORONG MELAYU,417005,NIL,1.32363558151984,103.910584945983
36,LORONG MARZUKI,417101,KEMBANGAN ESTATE,1.32167282729502,103.909482273235
41A,LORONG MARZUKI,417109,KEMBANGAN ESTATE,1.32189397994557,103.908844292776
85,LORONG MARZUKI,417183,KEMBANGAN ESTATE,1.32645723219476,103.908054077711
